,MLS #,Type,Status,Address,City,County,Beds,Baths,Structure Type,Date,List Office Name,Price,PriceChangeType,PriceChangeTitle,Timestamp
,VAFX2252664,RES,ACT,3135 Manor Rd,Falls Church,"Fairfax, VA",3,2/0,Detached,07/01/25,Samson Properties (SAMP1),"$659,900",,,2025-07-01 11:28:33
,VAFX2250520,RES,ACT,6402 Virginia Hills Ave,Alexandria,"Fairfax, VA",3,2,Detached,07/01/25,Redfin Corporation (REFC1),"$645,000",,,2025-07-01 11:28:33
,VAAR2059628,RES,ACT,1610 12th St S,Arlington,"Arlington, VA",4,4/1,Detached,06/27/25,Casey Margenau Fine Homes and Estates LLC (CMFH1),"$1,799,000",,,2025-07-01 11:28:33
,VAPW2098324,RES,ACT,2770 Bixby Rd,Woodbridge,"Prince William, VA",3,3/1,Interior Row/Townhouse,06/27/25,Samson Properties (SAMP5),"$455,000",,,2025-07-01 11:28:33
,VAAX2047040,RES,ACT,1619 Ripon Pl,Alexandria,"Alexandria City, VA",2,1,End of Row/Townhouse,06/27/25,Corcoran McEnearney (MCE1),"$405,000",,,2025-07-01 11:28:33
,VALO2100748,RES,A/C,18992 Snowberry Ct,Leesburg,"Loudoun, VA",5,3/1,Detached,06/29/25,"Real Broker, LLC (REKL1)","$957,000",,,2025-07-01 11:28:33
,VALO2100808,RES,C/S,35496 Simpsons Creek Rd,Round Hill,"Loudoun, VA",3,2,Detached,06/27/25,"Pearson Smith Realty, LLC (PSTH1)","$875,000",,,2025-07-01 11:28:33
,VAFX2252532,RES,ACT,2726 Gallows Rd #411,Vienna,"Fairfax, VA",2,2,Unit/Flat/Apartment,06/27/25,Samson Properties (SAMP4),"$505,000",,,2025-07-01 11:28:33
,VALO2100656,RES,ACT,21806 Leatherleaf Cir,Sterling,"Loudoun, VA",2,2/2,Interior Row/Townhouse,06/27/25,"Long & Foster Real Estate, Inc. (LNG78)","$499,950",,,2025-07-01 11:28:33
,VALO2100786,RES,C/S,39711 Covey Ct,Hamilton,"Loudoun, VA",4,4/1,Detached,06/27/25,Samson Properties (SAMP8),"$1,200,000",,,2025-07-01 11:28:33
,VAFX2236098,RES,ACT,7743 Inversham Dr #197,Falls Church,"Fairfax, VA",3,2/0,Unit/Flat/Apartment,06/27/25,RE/MAX Allegiance (RMAX34),"$469,900",,,2025-07-01 11:28:33
,VAFX2252438,RES,C/S,1517 Lincoln Way #204,Mclean,"Fairfax, VA",2,2,Unit/Flat/Apartment,06/27/25,Keller Williams Capital Properties (KWCP1),"$385,000",,,2025-07-01 11:28:33
,VAAR2060010,RES,C/S,1200 N Nash St N #1125,Arlington,"Arlington, VA",2,2,Unit/Flat/Apartment,06/27/25,Samson Properties (SAMP1),"$975,000",,,2025-07-01 11:28:33
,VAAX2046844,RES,ACT,717 S Royal St,Alexandria,"Alexandria City, VA",3,2/1,Interior Row/Townhouse,06/27/25,Corcoran McEnearney (MCE1),"$1,172,000",,,2025-07-01 11:28:33
,VAAR2060012,RES,ACT,2030 N Adams St #509,Arlington,"Arlington, VA",1,1,Unit/Flat/Apartment,06/27/25,"Libra Realty, LLC (LRL1)","$221,900",,,2025-07-01 11:28:33
,VAAX2045602,RES,ACT,3017 Fulton St,Alexandria,"Alexandria City, VA",3,2,Interior Row/Townhouse,05/21/25,Compass (COMPS7),"$799,900",,,2025-07-01 11:28:33
,VAFC2006550,RES,ACT,10148 Fair Woods Dr,Fairfax,"Fairfax City, VA",3,1/1,End of Row/Townhouse,06/27/25,"Pearson Smith Realty, LLC (PSTH1)","$353,000",,,2025-07-01 11:28:33
,VAAX2046976,RES,C/S,1907 Main Line Blvd #101,Alexandria,"Alexandria City, VA",3,2/1,Interior Row/Townhouse,06/27/25,Redfin Corporation (REFC1),"$917,000",,,2025-07-01 11:28:33
,VAPW2097074,RES,ACT,15370 Gatehouse Ter,Woodbridge,"Prince William, VA",2,3,Interior Row/Townhouse,06/27/25,"EXP Realty, LLC (EXPY1)","$399,900",,,2025-07-01 11:28:39
,VAFX2251062,RES,ACT,13517 Sayward Blvd #80,Herndon,"Fairfax, VA",3,2/1,Interior Row/Townhouse,06/27/25,Redfin Corporation (REFC1),"$675,000",,,2025-07-01 11:28:39
,VAPW2098108,RES,ACT,8899 Tenbury Ct,Bristow,"Prince William, VA",4,3/1,Detached,06/27/25,Coldwell Banker Elite (CBE10),"$860,000",,,2025-07-01 11:28:39
,VAFX2248918,RES,ACT,8202 Mockingbird Dr,Annandale,"Fairfax, VA",5,5/2,Detached,06/27/25,Beacon Crest Real Estate LLC (BCEE1),"$1,999,000",,,2025-07-01 11:28:39
,VAFX2252660,RES,ACT,12333 Cliveden St,Herndon,"Fairfax, VA",3,2/1,Detached,06/27/25,Keller Williams Realty (KWR6),"$785,000",,,2025-07-01 11:28:39
,VAFX2246678,RES,C/S,3207 Cunningham Dr,Alexandria,"Fairfax, VA",5,3/0,Detached,06/27/25,Artifact Homes (ARTFCTH1),"$949,900",,,2025-07-01 11:28:39
,VAFX2252620,RES,ACT,3015 Greenway Blvd,Falls Church,"Fairfax, VA",3,1,Detached,06/27/25,"Weichert, REALTORS (WEI70)","$649,900",,,2025-07-01 11:28:39
,VALO2100162,RES,C/S,313 Samantha Dr,Sterling,"Loudoun, VA",3,3,Detached,06/27/25,Samson Properties (SAMP1),"$673,000",,,2025-07-01 11:28:39
,VAAX2046980,RES,ACT,3313 Wyndham Cir #3210,Alexandria,"Alexandria City, VA",1,1,Unit/Flat/Apartment,06/27/25,Samson Properties (SAMP1),"$259,900",,,2025-07-01 11:28:39
,VAFX2252638,RES,ACT,2307 Middle Creek Ln,Reston,"Fairfax, VA",3,2/2,Interior Row/Townhouse,06/27/25,MXW Real Estate (MXWRE1),"$649,000",,,2025-07-01 11:28:39
,VAPW2098242,RES,C/S,10462 Steeplechase Run Ln,Manassas,"Prince William, VA",3,3/2,End of Row/Townhouse,06/27/25,Coldwell Banker Elite (CBE10),"$675,000",,,2025-07-01 11:28:39
,VALO2100482,RES,ACT,311 S Maple Ave,Purcellville,"Loudoun, VA",4,2/0,Detached,06/27/25,TTR Sotheby's International Realty (TTRS10),"$885,000",,,2025-07-01 11:28:39
,VAFX2250012,RES,ACT,2324 Wind Charm St #307,Herndon,"Fairfax, VA",2,2,Unit/Flat/Apartment,06/27/25,Coldwell Banker Realty (CBRB47),"$585,000",,,2025-07-01 11:28:39
,VAAR2060006,RES,ACT,1021 N Garfield St #527,Arlington,"Arlington, VA",1,1,Unit/Flat/Apartment,06/27/25,"Virginia Select Homes, LLC. (VSH1)","$509,500",,,2025-07-01 11:28:39
,VAFX2252478,RES,ACT,3478 Pence Ct,Annandale,"Fairfax, VA",4,3/1,Detached,06/27/25,Key Realty Group I LLC (KERG1),"$919,999",,,2025-07-01 11:28:39
,VAFX2252652,RES,CNL,3478 Pence Ct,Annandale,"Fairfax, VA",4,3/1,Detached,06/27/25,Key Realty Group I LLC (KERG1),"$919,999",,,2025-07-01 11:28:39
,VAFX2252218,RES,ACT,6514 Byrnes Dr,Mclean,"Fairfax, VA",6,6/2,Detached,06/27/25,"Giant Realty, Inc. (NSRI1)","$3,499,950",,,2025-07-01 11:28:39
,VAFX2252640,RES,ACT,4724 Hanrahan Pl,Alexandria,"Fairfax, VA",3,2/1,End of Row/Townhouse,06/27/25,Mount High Realty (SOTR1),"$624,900",,,2025-07-01 11:28:39
,VALO2100854,RES,ACT,4 Bentley Dr,Sterling,"Loudoun, VA",4,2/1,Detached,07/01/25,"Spring Hill Real Estate, LLC. (SHIL1)","$780,000",,,2025-07-01 11:28:39
,VAFX2252648,RES,ACT,3701 S George Mason Dr #101N,Falls Church,"Fairfax, VA",1,1,Unit/Flat/Apartment,06/27/25,Your Realty Inc. (YOUR1),"$297,000",,,2025-07-01 11:28:39
,VAAR2059754,RES,ACT,4163 S Four Mile Run Dr #401,Arlington,"Arlington, VA",1,1/0,Unit/Flat/Apartment,06/27/25,"Weichert, REALTORS (WEI70)","$390,000",,,2025-07-01 11:28:39
,VALO2095592,RES,ACT,668 Tammy Ter SE,Leesburg,"Loudoun, VA",3,2/2,Interior Row/Townhouse,06/28/25,Berkshire Hathaway HomeServices PenFed Realty (PFED48),"$599,900",,,2025-07-01 11:28:39
,VAPW2098254,RES,C/S,17341 Joplin Rd,Triangle,"Prince William, VA",3,1,Detached,06/26/25,"RE/MAX Gateway, LLC (RMAX154)","$270,000",,,2025-07-01 11:28:39
,VAPW2097668,RES,ACT,3086 Bridgeton Ct,Woodbridge,"Prince William, VA",3,4,End of Row/Townhouse,06/28/25,Samson Properties (SAMP4),"$525,000",,,2025-07-01 11:28:39
,VAFX2244868,RES,ACT,7910 Peyton Forest Trl,Annandale,"Fairfax, VA",4,3/1,End of Row/Townhouse,06/26/25,eXp Realty LLC (EXPY12),"$664,888",,,2025-07-01 11:28:39
,VAPW2097956,RES,C/S,15268 Cartersville Ct,Haymarket,"Prince William, VA",4,3/1,End of Row/Townhouse,06/26/25,Samson Properties (SAMP1),"$590,000",,,2025-07-01 11:28:45
,VAFX2252538,RES,ACT,1541 Lincoln Way #201A,Mclean,"Fairfax, VA",2,2,Unit/Flat/Apartment,06/26/25,Soldsense (SLDS1),"$389,900",,,2025-07-01 11:28:45
,VAPW2098238,RES,ACT,18413 Cedar Dr,Triangle,"Prince William, VA",5,3/1,Detached,06/26/25,Classic Realty LTD (CLSS1),"$820,000",,,2025-07-01 11:28:45
,VAFX2245928,RES,C/S,8104 Chars Landing Ct,Springfield,"Fairfax, VA",5,4/1,Detached,06/26/25,Keller Williams Realty (KWR21),"$1,450,000",,,2025-07-01 11:28:45
,VAFX2252634,RES,WTH,7808 Hill House Ct,Fairfax Station,"Fairfax, VA",6,4/2,Detached,06/27/25,"Sareen Realty, Inc. (SRN1)","$1,850,000",,,2025-07-01 11:28:45
,VALO2100686,RES,ACT,43561 Michigan Sq,Leesburg,"Loudoun, VA",3,2/1,Interior Row/Townhouse,06/26/25,Keller Williams Realty (KWR6),"$699,000",,,2025-07-01 11:28:45
,VAFX2252426,RES,ACT,4422 Neptune Dr,Alexandria,"Fairfax, VA",4,3/0,Detached,06/27/25,KW Metro Center (KWR19),"$965,000",,,2025-07-01 11:28:45
,VAFX2251604,RES,ACT,8509 Mount Vernon Hwy,Alexandria,"Fairfax, VA",4,2/1,Detached,06/28/25,"Weichert, REALTORS (WEI58)","$849,000",,,2025-07-01 11:28:45
,VAFC2006540,RES,C/S,3221 Adams Ct,Fairfax,"Fairfax City, VA",3,2/2,Interior Row/Townhouse,06/26/25,Keller Williams Realty (KWR21),"$625,000",,,2025-07-01 11:28:45
,VAAX2047052,RES,ACT,4301 Ivanhoe Pl,Alexandria,"Alexandria City, VA",4,3,Detached,06/26/25,"Washington Fine Properties, LLC (WFP3)","$995,000",,,2025-07-01 11:28:45
,VAPW2098302,RES,ACT,8141 Bayonet Way,Manassas,"Prince William, VA",2,2,Unit/Flat/Apartment,06/26/25,"Long & Foster Real Estate, Inc. (LNG222)","$339,500",,,2025-07-01 11:28:45
,VAFX2248134,RES,ACT,3010 Phyllmar Pl,Oakton,"Fairfax, VA",5,3/1,Detached,06/26/25,"Weichert, REALTORS (WEI69)","$1,275,000",,,2025-07-01 11:28:45
,VAPW2098304,RES,C/S,6160 Popes Creek Pl,Haymarket,"Prince William, VA",4,4/1,Interior Row/Townhouse,06/26/25,Washington Street Realty LLC (WHSR1),"$724,500",,,2025-07-01 11:28:45
,VAAR2059566,RES,C/S,1001 N Vermont St #910,Arlington,"Arlington, VA",1,1,Unit/Flat/Apartment,06/26/25,Better Homes and Gardens Real Estate Premier (BHG10),"$415,000",,,2025-07-01 11:28:45
,VAPW2097294,RES,ACT,11817 Medway Church Loop,Manassas,"Prince William, VA",3,2/2,Interior Row/Townhouse,06/28/25,Keller Williams Realty (KWR18),"$599,000",,,2025-07-01 11:28:45
,VAAX2046952,RES,ACT,925 N Fairfax St #610,Alexandria,"Alexandria City, VA",2,2,Unit/Flat/Apartment,06/26/25,Compass (COMPS7),"$959,000",,,2025-07-01 11:28:45
,VAFX2252614,RES,ACT,11350 Ridgeline Rd,Fairfax,"Fairfax, VA",4,4/1,End of Row/Townhouse,06/26/25,"Real Broker, LLC - Gaithersburg (REKL4)","$850,000",,,2025-07-01 11:28:45
,VAAX2046942,RES,ACT,416 S Fairfax St S,Alexandria,"Alexandria City, VA",3,1/1,Interior Row/Townhouse,06/26/25,TTR Sotheby's International Realty (TTRS8),"$1,199,000",,,2025-07-01 11:28:45
,VALO2100848,RES,ACT,20600 Hope Spring Ter #202,Ashburn,"Loudoun, VA",2,2,Unit/Flat/Apartment,06/26/25,Samson Properties (SAMP1),"$445,000",,,2025-07-01 11:28:45
,VAFX2252612,RES,C/S,8837 Eagle Rock Ln,Springfield,"Fairfax, VA",4,3/1,Interior Row/Townhouse,06/26/25,"Long & Foster Real Estate, Inc. (LNG93)","$669,900",,,2025-07-01 11:28:45
,VAAX2047014,RES,ACT,1200 Braddock Pl #211,Alexandria,"Alexandria City, VA",2,1/1,Unit/Flat/Apartment,06/30/25,RLAH @properties (RLAH3),"$572,000",,,2025-07-01 11:28:45
,VAFX2249368,RES,C/S,8001 Lake Pleasant Dr,Springfield,"Fairfax, VA",5,3,Detached,06/26/25,"Long & Foster Real Estate, Inc. (LNG8)","$779,900",,,2025-07-01 11:28:45
,VAAR2054684,RES,C/S,6012 19th St N,Arlington,"Arlington, VA",3,1/5,Detached,06/26/25,RLAH @properties (RLAH3),"$950,000",,,2025-07-01 11:28:45
,VAPW2098300,RES,A/C,10402 Labrador Loop,Manassas,"Prince William, VA",4,3/1,Detached,06/30/25,Pearson Smith Realty LLC (PSTH7),"$625,000",,,2025-07-01 11:28:45
,VAPW2094170,RES,ACT,12740 Bombay Way,Woodbridge,"Prince William, VA",4,3/1,Interior Row/Townhouse,06/27/25,Samson Properties (SAMP4),"$549,000",,,2025-07-01 11:28:45
,VAFX2252408,RES,ACT,9151 Hermosa Dr,Fairfax,"Fairfax, VA",5,3,Detached,06/27/25,"NewStar 1st Realty, LLC (PRIE1)","$1,099,900",,,2025-07-01 11:28:51
,VAAX2047018,RES,ACT,1409 E Abingdon Dr #4,Alexandria,"Alexandria City, VA",1,1,Unit/Flat/Apartment,06/26/25,"EXP Realty, LLC (EXPY4)","$319,900",,,2025-07-01 11:28:51
,VAFC2006462,RES,ACT,3509 Sutton Heights Cir,Fairfax,"Fairfax City, VA",4,3/1,Interior Row/Townhouse,06/26/25,eXp Realty LLC (EXPY12),"$1,064,888",,,2025-07-01 11:28:51
,VAFX2252420,RES,C/S,401 Walker Rd,Great Falls,"Fairfax, VA",4,4/1,Detached,06/26/25,Samson Properties (SAMP1),"$2,749,000",,,2025-07-01 11:28:51
,VAFX2252604,RES,PND,8201 Briar Creek Dr,Annandale,"Fairfax, VA",5,2/1,Detached,06/28/25,Irvin Realty LLC (IRVI1),"$969,000",,,2025-07-01 11:28:51
,VAFX2252436,RES,ACT,5823 Royal Ridge Dr #S,Springfield,"Fairfax, VA",2,1/0,Unit/Flat/Apartment,06/26/25,Samson Properties (SAMP1),"$300,000",,,2025-07-01 11:28:51
,VAFX2241794,RES,C/S,4766 Tapestry Dr,Fairfax,"Fairfax, VA",4,2/1,Detached,06/26/25,"Weichert, REALTORS (WEI69)","$800,000",,,2025-07-01 11:28:51
,VAFX2252608,RES,PND,100 Yeonas Cir SE,Vienna,"Fairfax, VA",4,3,Detached,06/28/25,"Pearson Smith Realty, LLC (PSTH1)","$875,000",,,2025-07-01 11:28:51
,VALO2100762,RES,ACT,19164 Black Oak Rd,Purcellville,"Loudoun, VA",5,3/1,Detached,06/26/25,"Real Broker, LLC (REKL1)","$1,450,000",,,2025-07-01 11:28:51
,VAFX2252606,RES,ACT,3811 Rainier Dr,Fairfax,"Fairfax, VA",3,2/2,Interior Row/Townhouse,06/26/25,"LPT Realty, LLC (LPT4)","$949,999",,,2025-07-01 11:28:51
,VAFX2252424,RES,ACT,10009 Thompson Ridge Ct,Great Falls,"Fairfax, VA",5,5,Detached,06/28/25,Glass House Real Estate (PTRET1),"$1,899,900",,,2025-07-01 11:28:51
,VAFC2006548,RES,ACT,11104 Rock Garden Dr,Fairfax,"Fairfax City, VA",2,1/1,Interior Row/Townhouse,06/26/25,Ikon Realty (IKON6),"$420,000",,,2025-07-01 11:28:51
,VALO2100832,RES,ACT,86 Sugarland Run Dr,Sterling,"Loudoun, VA",4,3,Interior Row/Townhouse,06/26/25,Samson Properties (SAMP23),"$490,000",,,2025-07-01 11:28:51
,VAFX2249226,RES,ACT,2713 Silkwood Ct,Oakton,"Fairfax, VA",4,4/2,Detached,06/28/25,Keller Williams Realty (KWR8),"$1,599,000",,,2025-07-01 11:28:51
,VAFX2250654,RES,A/C,1867 Crescent Park Dr #116A,Reston,"Fairfax, VA",2,2/1,End of Row/Townhouse,06/30/25,Keller Williams Realty (KWR18),"$575,000",,,2025-07-01 11:28:51
,VAFX2244408,RES,ACT,6106 Houston Ct,Alexandria,"Fairfax, VA",2,2/1,Detached,06/26/25,KW United (KWR30),"$700,000",,,2025-07-01 11:28:51
,VALO2100834,RES,ACT,23256 April Mist Pl,Brambleton,"Loudoun, VA",5,4/1,Detached,06/26/25,United Real Estate Horizon (HRIZ1),"$1,275,000",,,2025-07-01 11:28:51
,VAAX2047000,RES,ACT,304 Summers Dr,Alexandria,"Alexandria City, VA",4,4,Detached,06/27/25,Compass (COMPS7),"$1,695,000",,,2025-07-01 11:28:51
,VAFX2252572,RES,ACT,904 Man O War Ln,Great Falls,"Fairfax, VA",5,3/1,Detached,06/28/25,Premiere Realty (PMEE1),"$1,299,000",,,2025-07-01 11:28:51
,VAFX2249986,RES,ACT,6533 Brick Hearth Ct,Alexandria,"Fairfax, VA",2,2/2,Interior Row/Townhouse,06/26/25,Redfin Corporation (REFC1),"$560,000",,,2025-07-01 11:28:51
,VALO2100800,RES,C/S,45400 Persimmon Ln,Sterling,"Loudoun, VA",4,3/1,Detached,06/26/25,Keller Williams Realty (KWR8),"$1,100,000",,,2025-07-01 11:28:51
,VAPW2098208,RES,C/S,3953 Pepperidge Ct,Woodbridge,"Prince William, VA",3,2/1,Interior Row/Townhouse,06/26/25,Metro House (METHSE1),"$459,950",,,2025-07-01 11:28:51
,VAPW2098290,RES,C/S,8207 Peggys Ct,Gainesville,"Prince William, VA",5,3/1,Detached,06/26/25,"Pearson Smith Realty, LLC (PSTH3)","$830,000",,,2025-07-01 11:28:51
,VALO2100290,RES,ACT,16717 Whirlaway Ct,Leesburg,"Loudoun, VA",5,4/2,Detached,06/26/25,eXp Realty LLC (EXPY12),"$3,500,000",,,2025-07-01 11:28:51
,VAFX2252410,RES,C/S,12109 Stirrup Rd,Reston,"Fairfax, VA",4,2/1,Detached,06/26/25,Coldwell Banker Realty (CBRB47),"$850,000",,,2025-07-01 11:28:51
,VALO2100830,RES,C/S,19608 Edgemont Sq,Ashburn,"Loudoun, VA",3,2/1,End of Row/Townhouse,06/26/25,Richey Real Estate Services (RCHY1),"$820,000",,,2025-07-01 11:28:56
,VAFX2252540,RES,ACT,4501 Tipton Ln,Alexandria,"Fairfax, VA",4,3,Detached,06/27/25,Key Home Sales and Management (KEYHM1),"$829,000",,,2025-07-01 11:28:56
,VAFX2249396,RES,C/S,12910 Ashton Oaks Dr,Fairfax,"Fairfax, VA",4,3/1,Detached,06/26/25,Samson Properties (SAMP1),"$999,990",,,2025-07-01 11:28:56
,VAFX2249432,RES,ACT,5646 Mount Burnside Way,Burke,"Fairfax, VA",4,3/1,Detached,06/26/25,eXp Realty LLC (EXPY12),"$879,888",,,2025-07-01 11:28:56
,VAFX2245080,RES,ACT,106 Yeonas Dr SE,Vienna,"Fairfax, VA",5,4,Detached,06/27/25,Compass (COMPS5),"$1,147,000",,,2025-07-01 11:28:56
,VALO2093860,RES,WTH,21316 Sweet Clover Pl,Ashburn,"Loudoun, VA",4,3/1,Detached,06/27/25,"Pearson Smith Realty, LLC (PSTH1)","$1,150,000",,,2025-07-01 11:28:56
,VALO2100524,RES,ACT,44035 Kings Arms Sq,Ashburn,"Loudoun, VA",3,2/2,Interior Row/Townhouse,06/28/25,"Weichert, REALTORS (WEI69)","$600,000",,,2025-07-01 11:28:56
,VAPW2098244,RES,ACT,4703 Potomac Highlands Cir,Triangle,"Prince William, VA",3,2/2,Interior Row/Townhouse,06/26/25,"Long & Foster Real Estate, Inc. (LNG80)","$420,000",,,2025-07-01 11:28:56
,VALO2100746,RES,ACT,23055 Welbourne Walk Ct,Ashburn,"Loudoun, VA",5,4/1,Detached,06/27/25,Keller Williams Realty (KWR8),"$2,899,000",,,2025-07-01 11:28:56
,VAAR2059978,RES,ACT,1300 Army Navy Dr #320,Arlington,"Arlington, VA",1,1,Unit/Flat/Apartment,06/30/25,Coldwell Banker Realty (CBRB63),"$259,800",,,2025-07-01 11:28:56
,VAFX2250874,RES,ACT,1910 Cherri Dr,Falls Church,"Fairfax, VA",7,7/1,Detached,06/27/25,Compass (COMPS5),"$2,267,000",,,2025-07-01 11:28:56
,VAFC2006530,RES,ACT,10111 Ballynahown Cir,Fairfax,"Fairfax City, VA",4,4/1,End of Row/Townhouse,06/26/25,"Pearson Smith Realty, LLC (PSTH1)","$1,300,000",,,2025-07-01 11:28:56
,VALO2100816,RES,ACT,43290 Farringdon Sq,Broadlands,"Loudoun, VA",3,2/1,Interior Row/Townhouse,06/26/25,"Pearson Smith Realty, LLC (PSTH1)","$645,355",,,2025-07-01 11:28:56
,VAAX2047030,RES,ACT,624 S Pitt St #1/2,Alexandria,"Alexandria City, VA",3,2/1,Interior Row/Townhouse,06/26/25,TTR Sotheby's International Realty (TTRS6),"$1,499,000",,,2025-07-01 11:28:56
,VAFX2252498,RES,ACT,12180 Abington Hall Pl #301,Reston,"Fairfax, VA",3,2/0,Unit/Flat/Apartment,06/26/25,Cottage Street Realty LLC (CTST1),"$559,500",,,2025-07-01 11:28:56
,VAAR2059862,RES,ACT,1401 S Edgewood St #488,Arlington,"Arlington, VA",2,1,End of Row/Townhouse,06/26/25,RLAH @properties (RLAH3),"$465,000",,,2025-07-01 11:28:56
,VAPW2096040,RES,C/S,15600 Picketts Store Pl,Haymarket,"Prince William, VA",4,3/1,End of Row/Townhouse,06/26/25,Samson Properties (SAMP9),"$750,000",,,2025-07-01 11:28:56
,VAPW2098234,RES,WTH,8713 Chorley Way,Bristow,"Prince William, VA",3,3/1,Interior Row/Townhouse,06/27/25,Real Property Management Pros (RPMP1),"$555,000",,,2025-07-01 11:28:56
,VAAR2059756,RES,A/C,2967 S Columbus St #B2,Arlington,"Arlington, VA",1,1,Unit/Flat/Apartment,06/29/25,Redfin Corporation (REFC1),"$340,000",,,2025-07-01 11:28:56
,VAAX2047050,RES,ACT,6301 Stevenson Ave #410,Alexandria,"Alexandria City, VA",2,2,Unit/Flat/Apartment,06/26/25,Compass (COMPS6),"$345,000",,,2025-07-01 11:28:56
,VAFX2248048,RES,ACT,4716 Pickett Rd,Fairfax,"Fairfax, VA",5,2/1,Detached,06/26/25,eXp Realty LLC (EXPY12),"$974,888",,,2025-07-01 11:28:56
,VALO2100760,RES,ACT,126 N Baylor Dr,Sterling,"Loudoun, VA",3,1/1,Interior Row/Townhouse,06/28/25,Samson Properties (SAMP6),"$359,900",,,2025-07-01 11:28:56
,VAPW2096958,RES,C/S,485 Harbor Side St #414,Woodbridge,"Prince William, VA",2,2,Unit/Flat/Apartment,06/27/25,Keller Williams Realty (KWR8),"$485,000",,,2025-07-01 11:28:56
,VAFX2247844,RES,A/C,1429 Valley Mill Ct,Herndon,"Fairfax, VA",4,2/1,Detached,06/29/25,eXp Realty LLC (EXPY12),"$790,000",,,2025-07-01 11:28:56
,VAPW2098052,RES,ACT,18505 Cabin Rd,Triangle,"Prince William, VA",5,3/1,Detached,06/26/25,Redfin Corporation (REFC1),"$925,000",,,2025-07-01 11:28:56
,VAPW2096994,RES,C/S,5361 Trevino Dr,Haymarket,"Prince William, VA",2,3,Detached,06/26/25,"Weichert, REALTORS (WEI49)","$875,000",,,2025-07-01 11:29:02
,VAAX2047010,RES,ACT,545 E Braddock Rd E #302,Alexandria,"Alexandria City, VA",2,1/0,Unit/Flat/Apartment,06/26/25,KW Metro Center (KWR19),"$499,900",,,2025-07-01 11:29:02
,VAPW2097356,RES,PND,6843 William White Way,Haymarket,"Prince William, VA",3,2/2,Interior Row/Townhouse,06/29/25,Century 21 Redwood Realty (RDWG1),"$650,000",,,2025-07-01 11:29:02
,VAPW2098220,RES,ACT,5280 Gunston Hall Dr,Woodbridge,"Prince William, VA",5,3/1,Detached,06/26/25,M.O. Wilson Properties (MOW1),"$775,000",down,Price Decrease,2025-07-01 11:29:02
,VAFX2243404,RES,A/C,11729 Ledura Ct #202,Reston,"Fairfax, VA",3,2/0,Unit/Flat/Apartment,06/29/25,Compass (COMPS5),"$350,000",,,2025-07-01 11:29:02
,VAPW2098032,RES,C/S,2656 Falmouth Ct,Woodbridge,"Prince William, VA",8,5,Detached,06/26/25,"Fathom Realty DC, LLC (FHOM2)","$825,000",,,2025-07-01 11:29:02
,VAAR2059020,RES,ACT,4519 34th St S,Arlington,"Arlington, VA",2,3/0,End of Row/Townhouse,06/09/25,"EXP Realty, LLC (EXPY5)","$775,000",,,2025-07-01 11:29:02
,VAFX2248822,RES,ACT,3715 Huntley Meadows Ln,Alexandria,"Fairfax, VA",4,3/1,Interior Row/Townhouse,06/26/25,KW Metro Center (KWR19),"$659,990",,,2025-07-01 11:29:02
,VALO2100692,RES,C/S,1010 Tuscarora Dr SW,Leesburg,"Loudoun, VA",4,2/1,Detached,06/26/25,"Pearson Smith Realty, LLC (PSTH1)","$699,950",,,2025-07-01 11:29:02
,VAFX2252256,RES,C/S,9409 Park Hunt Ct,Springfield,"Fairfax, VA",3,2/2,End of Row/Townhouse,06/26/25,Coldwell Banker Realty (CBRB54),"$700,000",,,2025-07-01 11:29:02
,VALO2100650,RES,ACT,43158 Crosswind Ter,Broadlands,"Loudoun, VA",3,2/2,Interior Row/Townhouse,06/26/25,Samson Properties (SAMP1),"$638,000",,,2025-07-01 11:29:02
,VALO2100724,RES,C/S,1787 Moultrie Ter NE,Leesburg,"Loudoun, VA",3,3/1,End of Row/Townhouse,06/26/25,Keller Williams Realty (KWR8),"$815,000",,,2025-07-01 11:29:02
,VAFX2252512,RES,ACT,10330 Rein Commons Ct. #1 B,Burke,"Fairfax, VA",3,1/0,Unit/Flat/Apartment,06/26/25,Samson Properties (SAMP1),"$279,000",,,2025-07-01 11:29:02
,VAFX2252488,RES,ACT,8562 Wyngate Manor Ct,Alexandria,"Fairfax, VA",3,2/2,End of Row/Townhouse,06/27/25,Realty ONE Group Capital (ROGC1),"$699,900",,,2025-07-01 11:29:02
,VAFX2250396,RES,ACT,6910 Quander Rd,Alexandria,"Fairfax, VA",4,2,Detached,06/26/25,KW Metro Center (KWR19),"$680,000",,,2025-07-01 11:29:02
,VALO2100784,RES,ACT,38875 Silver King Cir,Waterford,"Loudoun, VA",6,5/1,Detached,06/26/25,"Pearson Smith Realty, LLC (PSTH1)","$1,999,990",,,2025-07-01 11:29:02
,VAFX2246788,RES,C/S,5730 Walnut Wood Ln,Burke,"Fairfax, VA",4,2/1,End of Row/Townhouse,06/26/25,"Real Broker, LLC (REKL1)","$659,999",,,2025-07-01 11:29:02
,VAAX2046922,RES,ACT,1305 Trinity Dr,Alexandria,"Alexandria City, VA",4,3/1,Detached,06/26/25,Samson Properties (SAMP1),"$1,450,000",,,2025-07-01 11:29:02
,VAFX2252396,RES,ACT,10110 Sassafras Woods Ct,Burke,"Fairfax, VA",4,3/1,Interior Row/Townhouse,06/26/25,KW Metro Center (KWR19),"$585,000",,,2025-07-01 11:29:02
